date,open,high,low,close,volume,amount,postVol,postAmt
2026-03-20,4.598,4.635,4.573,4.576,761273568,3509938019,,
2026-03-23,4.528,4.537,4.406,4.43,1523498110,6799292790,,
2026-03-24,4.463,4.48,4.405,4.479,850435100,3784113263,,
2026-03-25,4.51,4.549,4.504,4.544,867712637,3932266869,,
2026-03-26,4.536,4.547,4.477,4.488,474242414,2139118213,,
2026-03-27,4.45,4.53,4.445,4.508,562690826,2529639239,,
2026-03-30,4.462,4.505,4.453,4.5,543994287,2434696108,,
2026-03-31,4.501,4.529,4.462,4.463,530565553,2385310576,,
2026-04-01,4.52,4.542,4.501,4.534,501228066,2267466693,,
2026-04-02,4.521,4.526,4.47,4.489,466351103,2098973595,,
2026-04-03,4.495,4.506,4.446,4.454,426109595,1903072420,,
2026-04-07,4.455,4.47,4.431,4.446,428568561,1908516206,,
2026-04-08,4.519,4.604,4.517,4.602,996884580,4550818244,,
2026-04-09,4.573,4.586,4.56,4.572,704955323,3223934997,,
2026-04-10,4.588,4.664,4.588,4.642,906387271,4203124967,,
2026-04-13,4.629,4.66,4.623,4.652,392892599,1825187755,,
2026-04-14,4.679,4.712,4.663,4.712,427657077,2005429241,,
2026-04-15,4.732,4.746,4.684,4.694,675980605,3185349113,,
2026-04-16,4.704,4.747,4.7,4.746,853234423,4036951794,,
2026-04-17,4.737,4.75,4.722,4.739,736150074,3485941360,,
2026-04-20,4.735,4.777,4.728,4.765,762457819,3627929894,,
2026-04-21,4.764,4.786,4.73,4.776,636108137,3026895923,,
2026-04-22,4.76,4.813,4.756,4.811,1012592563,4851593064,,
2026-04-23,4.82,4.834,4.772,4.801,1008518112,4848688474,,
2026-04-24,4.785,4.798,4.75,4.782,719322606,3432906825,,
2026-04-27,4.786,4.81,4.773,4.782,928036020,4443760487,,
2026-04-28,4.766,4.79,4.757,4.77,864420229,4125806962,,
2026-04-29,4.755,4.828,4.755,4.821,1279679774,6139314265,,
2026-04-30,4.83,4.841,4.808,4.824,1651786402,7965711080,,
2026-05-06,4.866,4.914,4.852,4.888,1867782757,9131466569,,
2026-05-07,4.905,4.914,4.879,4.912,2094622649,10262731527,,
2026-05-08,4.89,4.902,4.862,4.886,1253564919,6121164078,,
2026-05-11,4.911,4.98,4.9,4.966,2116521779,10456512044,,
2026-05-12,4.975,4.987,4.944,4.963,1002170459,4976355850,,
2026-05-13,4.94,5.023,4.939,5.017,1272615005,6331249194,,
2026-05-14,5.037,5.041,4.931,4.941,1028164563,5118663487,,
2026-05-15,4.935,4.954,4.852,4.878,1047902445,5135152285,,
2026-05-18,4.855,4.885,4.819,4.852,583576370,2832450612,,
2026-05-19,4.843,4.874,4.789,4.869,967499889,4670192858,,
2026-05-20,4.845,4.882,4.84,4.871,959720086,4664422387,,
2026-05-21,4.897,4.954,4.801,4.808,1205577337,5913215496,,
2026-05-22,4.828,4.868,4.807,4.862,1325051845,6421618436,,
2026-05-25,4.88,4.938,4.872,4.937,1625055928,7970991059,,
2026-05-26,4.912,4.975,4.91,4.972,968675161,4786813577,,
2026-05-27,4.963,4.993,4.913,4.932,640521540,3174582673,,
2026-05-28,4.917,4.948,4.866,4.932,439649824,2155076599,,
2026-05-29,4.946,4.978,4.9,4.923,656685445,3243446893,,
2026-06-01,4.923,4.94,4.861,4.868,499092716,2443095510,,
2026-06-02,4.867,4.956,4.856,4.936,680943744,3345673270,,
2026-06-03,4.938,5.016,4.928,4.965,760461891,3784497955,,
2026-06-04,4.919,4.961,4.91,4.926,609728284,3006706301,,
2026-06-05,4.909,4.948,4.825,4.843,618292734,3023262809,,
2026-06-08,4.79,4.808,4.705,4.739,923272364,4394322754,,
2026-06-09,4.764,4.828,4.741,4.826,436164482,2085593718,,
2026-06-10,4.79,4.814,4.751,4.784,393162295,1879211957,,
2026-06-11,4.766,4.793,4.718,4.751,416068768,1975529542,,
2026-06-12,4.81,4.846,4.789,4.818,780885896,3761995011,,
2026-06-15,4.858,4.92,4.839,4.919,1623300671,7928405421,,
2026-06-16,4.92,4.933,4.893,4.91,908529432,4467242130,,
2026-06-17,4.898,4.96,4.894,4.958,1391186980,6854308726,,
2026-06-18,4.943,5.001,4.941,4.984,1293343039,6434057084,,
2026-06-22,4.983,5.095,4.954,5.091,1913157765,9643147387,,
2026-06-23,5.079,5.095,4.915,4.942,2617335439,13121283633,,
2026-06-24,4.929,4.978,4.916,4.967,2590673409,12839317641,,
2026-06-25,4.973,5.055,4.966,5.048,2640608736,13252886361,,
2026-06-26,5.008,5.015,4.88,4.907,958242943,4730764080,,
2026-06-29,4.897,4.966,4.866,4.959,1484805733,7294621804,,
2026-06-30,4.947,5.022,4.942,5.019,2029721263,10142732805,,
2026-07-01,5.009,5.054,4.957,4.998,962619027,4820926453,,
2026-07-02,4.955,4.96,4.835,4.85,1369153610,6704066004,,
2026-07-03,4.83,4.927,4.828,4.876,1998330782,9792434457,,
2026-07-06,4.9,4.914,4.831,4.877,617991815,3016661205,31300.0,152650.0
2026-07-07,4.858,4.877,4.796,4.826,698696778,3378515920,144400.0,696874.0
2026-07-08,4.836,4.872,4.793,4.798,484684769,2337287019,946800.0,4542746.0
2026-07-09,4.813,4.925,4.777,4.916,955859248,4636438104,805600.0,3960330.0
2026-07-10,4.918,4.949,4.827,4.829,824280021,4039507185,402100.0,1941741.0
2026-07-13,4.802,4.821,4.719,4.744,1619052968,7705111563,304600.0,1445022.0
2026-07-14,4.744,4.838,4.696,4.837,1808440038,8630537927,439700.0,2126829.0
2026-07-15,4.829,4.87,4.819,4.838,722032704,3497653884,217000.0,1049846.0
2026-07-16,4.775,4.825,4.724,4.753,1657822791,7909234146,761200.0,3617984.0
2026-07-17,4.72,4.73,4.546,4.589,3164775715,14648790580,751100.0,3446798.0
2026-07-20,4.63,4.685,4.577,4.65,4010453802,18562451759,204400.0,950460.0
2026-07-21,4.677,4.789,4.617,4.787,2738832112,12894642144,1453000.0,6955511.0
