序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd
5061,603690,至纯科技,20.78,-2.26,-0.48,105876.0,223791802.0,4.75,21.66,20.65,21.23,21.26,1.05,2.76,-25.23,2.29,7957997115.0,7957997115.0,0.05,0.53,-19.8,-33.93
5062,000571,新大洲A,6.02,-2.27,-0.14,136639.0,83204716.8,3.57,6.2,5.98,6.1,6.16,1.19,1.68,-38.23,335.02,5051556580.0,4900232743.0,0.0,0.0,4.7,2.73
5063,300601,康泰生物,12.06,-2.27,-0.28,65702.0,79758287.89,1.94,12.29,12.05,12.23,12.34,1.12,0.73,101.01,1.47,13470179020.0,10858790136.0,0.0,-0.08,-13.92,-18.18
5064,300131,英唐智控,15.0,-2.28,-0.35,237598.0,360860902.67,4.04,15.53,14.91,15.35,15.35,1.19,2.28,1044.75,9.87,17025292275.0,15634012740.0,-0.4,0.07,-7.86,2.32
5065,002847,盐津铺子,47.08,-2.28,-1.1,17672.0,82752158.78,3.28,47.97,46.39,47.85,48.18,1.32,0.72,13.78,6.7,12720424628.0,11479928915.0,0.36,0.17,-12.73,-30.05
5066,601872,招商轮船,15.4,-2.28,-0.36,626467.0,957892394.0,4.82,15.73,14.97,15.65,15.76,1.97,0.78,11.25,2.89,124347892931.0,124347892931.0,-0.13,-0.26,-10.36,76.4
5067,002654,万润科技,11.56,-2.28,-0.27,239559.0,280877641.62,4.14,11.99,11.5,11.86,11.83,1.2,2.83,-454.91,6.31,9771697409.0,9771003809.0,-0.52,-0.17,-19.67,-17.72
5068,688259,创耀科技,27.85,-2.28,-0.65,8204.0,22984059.0,3.54,28.64,27.63,28.42,28.5,1.17,0.73,74.88,1.98,3110845000.0,3110845000.0,0.36,0.72,-24.03,-32.97
5069,600380,健康元,10.24,-2.29,-0.24,84353.0,86997271.0,2.58,10.48,10.21,10.45,10.48,1.38,0.46,11.29,1.23,18733602673.0,18733602673.0,0.2,0.1,-3.49,-9.62
5070,605499,东鹏饮料,127.79,-2.3,-3.01,31850.0,405527844.0,3.36,130.4,126.0,130.01,130.8,1.45,0.47,18.65,4.92,93823329825.0,86388199651.0,0.03,0.13,-15.87,-37.28
5071,600539,狮头股份,16.13,-2.3,-0.38,61860.0,102246932.0,5.57,17.03,16.11,17.0,16.51,1.22,2.69,1762.36,12.35,3709900000.0,3709900000.0,-0.62,-0.98,-4.39,58.45
5072,002848,高斯贝尔,12.32,-2.3,-0.29,15735.0,19635400.0,3.49,12.69,12.25,12.37,12.61,1.21,0.95,88.66,24.65,2059288000.0,2037985008.0,-0.32,-0.24,-17.37,37.19
5073,301509,金凯生科,27.5,-2.31,-0.65,14539.0,40422620.0,3.27,28.33,27.41,27.88,28.15,1.1,2.56,49.75,1.57,3312283398.0,1560375520.0,0.04,0.0,-31.9,-16.36
5074,688807,优迅股份,255.02,-2.31,-6.02,5820.0,151035597.0,5.75,267.01,252.01,264.0,261.04,1.32,3.64,191.93,11.53,20401600000.0,4080320000.0,0.06,1.03,-34.55,36.42
5075,301584,建发致新,21.06,-2.32,-0.5,24369.0,51422183.35,3.85,21.59,20.76,21.0,21.56,1.23,4.54,34.03,4.26,8872336000.0,1131222842.0,0.14,0.05,-20.38,-27.43
5076,605296,神农集团,30.57,-2.33,-0.73,21038.0,64441896.0,3.42,31.29,30.22,31.01,31.3,1.51,0.41,-6.19,3.75,16042048258.0,15834783658.0,0.23,-0.26,4.09,4.26
5077,688265,南模生物,33.32,-2.34,-0.8,6528.0,22125533.0,3.96,34.61,33.26,33.54,34.12,1.18,0.84,949.97,1.53,2597744253.0,2597744253.0,-0.15,-0.18,-20.27,-18.51
5078,002127,南极电商,2.92,-2.34,-0.07,353587.0,103542761.4,4.01,3.0,2.88,2.99,2.99,1.13,1.77,54.91,1.91,7168221577.0,5824620351.0,0.0,0.0,-3.31,-11.78
5079,000021,深科技,39.28,-2.34,-0.94,719140.0,2870500762.4,4.62,40.86,39.0,40.26,40.22,1.45,4.57,63.84,4.75,61841244958.0,61832831182.0,-0.36,-0.23,37.2,56.74
5080,002624,完美世界,10.01,-2.34,-0.24,306983.0,308871123.67,2.34,10.18,9.94,10.15,10.25,1.62,1.68,47.28,2.96,19419083724.0,18295607740.0,-0.1,-0.3,-40.38,-37.67
5081,688118,普元信息,17.54,-2.34,-0.42,6511.0,11542743.0,3.17,17.97,17.4,17.82,17.96,0.93,0.7,-14.33,2.0,1636775146.0,1636775146.0,0.34,0.8,-38.06,-30.45
5082,300501,海顺新材,9.55,-2.35,-0.23,12975.0,12621297.44,3.37,9.88,9.55,9.78,9.78,1.08,0.47,-61.32,2.07,2656644747.0,2647477921.0,-0.62,-0.21,-33.12,-6.92
5083,300676,华大基因,36.61,-2.35,-0.88,26252.0,96862343.42,2.13,37.34,36.54,37.2,37.49,1.09,0.63,-402.15,1.82,15314588116.0,15231076130.0,0.03,0.03,-5.67,-19.29
5084,688152,麒麟信安,24.98,-2.35,-0.6,5537.0,13943933.0,2.46,25.51,24.88,25.3,25.58,1.29,0.54,-73.76,2.1,2545413938.0,2545413938.0,0.04,0.32,-26.72,-38.09
5085,688795,摩尔线程-U,609.24,-2.35,-14.67,7220.0,445583524.0,3.05,628.0,609.0,621.0,623.91,1.0,2.39,2438.42,24.86,286359990925.0,18414577528.0,-0.28,0.0,-4.58,3.63
