序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
589,688498,源杰科技,1455.23,2.84,40.23,32825.0,4808223993.0,7.77,1520.0,1409.99,1439.98,1415.0,1.68,2.67,252.42,73.51,181176683622.0,178836334713.0,0.36,0.71,51.19,228.72,26983440.0,0.56,-54307792.0,-1.12,81291232.0,1.68,-25550024.0,-0.53,-1433404.0,-0.03
590,002418,康盛股份,3.27,2.83,0.09,257707.0,84235523.0,5.35,3.32,3.15,3.17,3.18,2.17,2.27,192.21,2.55,3716028000.0,3716018314.0,-0.3,0.0,-46.83,-31.45,-710806.0,-0.84,-189654.0,-0.22,-521152.0,-0.62,-3429856.0,-4.06,4140662.0,4.9
591,301293,三博脑科,52.65,2.83,1.45,73655.0,383145558.04,5.21,53.27,50.6,51.76,51.2,2.66,3.58,180.34,4.6,10845214866.0,10845214866.0,-0.09,-0.27,-19.98,-10.73,7203127.0,1.88,10554110.0,2.75,-3350983.0,-0.87,1974426.0,0.51,-9177553.0,-2.39
592,688707,振华新材,9.83,2.82,0.27,34453.0,33696096.0,4.5,9.98,9.55,9.56,9.56,1.44,0.68,-13.08,1.28,5000916215.0,5000916215.0,0.2,-0.1,-41.28,-29.03,-2111160.0,-6.04,0.0,0.0,-2111160.0,-6.04,612803.0,1.75,1498358.0,4.28
593,301349,信德新材,39.06,2.82,1.07,27528.0,108144338.62,3.9,39.93,38.45,38.45,37.99,1.64,2.45,44.44,2.04,5565990629.0,4394881249.0,-0.15,-0.08,-8.4,17.09,9471780.0,8.72,2639602.0,2.43,6832178.0,6.29,-990725.0,-0.91,-8481056.0,-7.81
595,002709,天赐材料,36.25,2.81,0.99,314923.0,1134608709.01,4.11,36.63,35.18,35.41,35.26,1.55,2.09,11.17,4.0,73897863220.0,54701649439.0,0.08,0.14,-31.27,-21.16,44213551.0,3.89,31285567.0,2.75,12927984.0,1.14,7699520.0,0.68,-51913072.0,-4.57
596,600478,科力远,4.75,2.81,0.13,144176.0,67883413.0,3.9,4.77,4.59,4.61,4.62,2.02,0.85,51.91,2.65,8046114851.0,8046114851.0,0.0,0.42,-38.55,-31.06,5830969.0,8.57,4094502.0,6.02,1736467.0,2.55,-10850378.0,-15.94,5019409.0,7.37
597,603312,西典新能,30.77,2.81,0.84,3687.0,11226987.0,4.41,30.92,29.6,29.79,29.93,1.39,0.72,20.59,2.76,4923184615.0,1566793015.0,0.13,0.23,-22.9,-33.7,-241640.0,-2.15,0.0,0.0,-241640.0,-2.15,427348.0,3.8,-185708.0,-1.65
598,600151,航天机电,8.79,2.81,0.24,146333.0,127536037.0,4.09,8.84,8.49,8.49,8.55,1.48,1.02,-188.92,2.86,12607077603.0,12607077603.0,-0.23,0.23,-40.41,-49.91,12558347.0,9.81,2235939.0,1.75,10322408.0,8.06,-15855215.0,-12.38,3304779.0,2.58
599,002531,天顺风能,6.23,2.81,0.17,271179.0,167507162.02,4.79,6.29,6.0,6.03,6.06,1.35,1.52,67.59,1.29,11194554039.0,11131672413.0,0.0,0.0,-49.31,-9.18,10714212.0,6.39,11914392.0,7.11,-1200180.0,-0.72,-15968220.0,-9.53,5254008.0,3.14
600,002546,新联电子,7.68,2.81,0.21,164703.0,124855079.53,4.28,7.7,7.38,7.38,7.47,1.42,2.06,17.57,1.69,6405497057.0,6153462497.0,0.39,0.52,-8.46,11.79,4436749.0,3.55,-6586799.0,-5.26,11023548.0,8.81,-15789.0,-0.01,-4420960.0,-3.53
601,300839,博汇股份,10.27,2.8,0.28,31396.0,32064086.0,3.8,10.35,9.97,10.0,9.99,1.26,1.11,15.82,3.67,2959135574.0,2908272957.0,0.0,0.1,-27.98,-14.7,-53007.0,-0.16,644725.0,2.0,-697732.0,-2.17,-3354105.0,-10.43,3407112.0,10.6
603,603993,洛阳钼业,20.16,2.8,0.55,1698905.0,3384339275.0,5.56,20.39,19.3,19.8,19.61,2.1,0.97,13.9,5.21,431309293148.0,352010578268.0,-0.4,-0.84,5.66,2.28,418887728.0,12.28,320127744.0,9.38,98759984.0,2.89,-187441616.0,-5.49,-231490576.0,-6.79
